#,Open,High,Low,Close,Volume,Stock
143,308.29,316.31,307.6,633.22,"7,125,900",316.835
144,316.84,320.1,313.57,630.57,"4,389,700",315
145,312.96,317.06,312.94,631.24,"3,745,100",316.535
146,317.46,318.56,314.51,630.95,"3,702,900",314.18
147,311.59,317.82,310.54,627.03,"3,970,100",318.77
148,318.81,320.66,316.88,639.57,"3,808,300",320.95
149,318.61,323.48,318.42,641.06,"3,578,000",318.99
150,319.7,320.93,317.05,638.79,"3,978,300",319.895
151,318.33,321.73,318.06,640.47,"2,654,200",320.77
152,321.05,321.98,319.56,640.59,"2,148,500",318.4
153,318.1,319.92,316.88,640.24,"2,879,800",325.485
154,322.5,328.84,322.13,658.2,"6,560,200",331.72
155,328.39,335.17,328.27,666.83,"7,350,800",333.34
156,333.89,335.87,330.81,665.71,"4,839,400",334.175
157,332.51,336.06,332.29,671.03,"3,448,200",335.98
158,335.8,337.36,334.6,675.29,"4,371,600",336.62
159,336.49,338.17,335.07,673.69,"3,529,300",333.79
160,335.3,337.73,329.85,667.68,"4,461,000",335.57
161,332.44,339.03,332.11,675.33,"3,832,600",336.61
162,335.88,338.97,334.25,674.95,"3,581,700",337.365
163,336.54,338.95,335.78,676.77,"2,863,800",331.57
164,330.26,334.75,328.39,667.39,"5,246,900",334.335
165,331.26,337.54,331.13,675.4,"4,132,600",340.01
166,337.42,343.21,336.81,686.13,"6,002,900",340.615
167,340.84,342.41,338.82,679.81,"3,265,900",340.875
168,340.72,343,338.75,683.21,"4,270,000",338.355
169,341,341.22,335.49,679.18,"3,793,200",340.135
170,338.73,341.97,338.3,678.86,"3,429,100",344.865
171,341.7,348.64,341.09,697.49,"6,109,700",351.165
172,348.69,354.8,347.53,704.22,"6,490,100",351.48
173,353.55,355.07,347.89,698.85,"5,139,100",346.615
174,347.68,349.02,344.21,690.29,"3,761,500",342.665
175,343.42,346.16,339.17,688.99,"5,304,300",348.58
176,345.25,353.18,343.98,704.11,"5,337,900",353.675
177,353.48,355.17,352.18,707.74,"5,256,500",353.145
178,352.73,355.11,351.18,708.04,"3,027,800",355.03
179,352.57,357.99,352.07,716.31,"4,149,000",359.895
180,357.41,362.92,356.87,725.51,"6,219,700",361.79
181,360.88,364.32,359.26,726.13,"5,836,500",364.895
182,364.74,366.09,363.7,731.98,"12,765,800",368.69
183,364.14,373.62,363.76,747.33,"7,154,200",376.725
184,375.12,381.02,372.43,747.11,"12,162,400",374.16
185,373.52,379.2,369.12,751.4,"11,388,200",377.21
186,378.56,380,374.42,754.43,"7,891,600",376.2
187,375.67,378.23,374.17,752.43,"5,587,700",378.88
188,378.11,381.07,376.69,759.69,"6,359,700",377.645
189,381.17,381.56,373.73,754.92,"5,601,200",377.615
190,376.45,380.53,374.7,760.41,"4,433,100",380.895
191,379.95,383.51,378.28,765.95,"4,926,700",383.41
192,383.92,385.74,381.08,765.55,"5,492,200",378.015
193,379.08,380.36,375.67,755.77,"3,931,800",374.56
194,378.42,379.24,369.88,742.05,"6,028,900",370.07
195,369.54,372.37,367.77,742.52,"4,095,000",375.785
196,375.04,377.83,373.74,749.42,"4,785,600",373.345
197,374.52,376.03,370.66,742.71,"4,826,400",367.26
198,369.58,370.53,363.99,738.95,"6,060,700",369.475
199,368.68,372.1,366.85,742.66,"4,131,800",372.755
200,370.59,376.76,368.75,753.42,"4,602,900",357.515
201,376.36,378.29,336.74,693.1,"24,977,900",343.39
202,351.47,352.03,334.75,679.92,"23,050,400",337.32
203,339.23,341.04,333.6,676.81,"8,141,500",338.565
204,334.75,342.38,334.75,678.49,"5,855,000",339.295
205,342.12,342.22,336.37,675.45,"5,011,600",337.615
206,338.73,339.73,335.5,675.9,"4,820,100",337.295
207,336.99,340.24,334.35,673.3,"3,916,200",337.735
208,338.66,339.23,336.24,678.44,"3,085,400",341.125
209,338.48,344.16,338.09,685.71,"4,115,500",344.44
210,346.1,346.48,342.4,686.04,"4,666,100",339.335
211,340.97,342.15,336.52,681.09,"3,283,900",339.74
212,341.46,341.97,337.51,679.85,"3,177,300",334.925
213,336.24,337.85,332,665.29,"4,481,200",329.445
214,333.85,334.49,324.4,650.5,"5,213,300",328.43
215,326.1,332.92,323.94,661.21,"6,251,500",331.425
216,330.64,333.65,329.2,664.08,"2,822,300",330.22
217,330.26,332.55,327.89,657.25,"3,200,200",326.945
218,329.1,329.85,324.04,650.76,"3,349,200",324.76
219,323.79,328.77,320.75,645.49,"3,711,500",321.05
220,321.79,325.29,316.81,645.41,"6,902,000",329.875
221,326.63,333.21,326.54,666.38,"4,754,100",334.385
222,333.5,337.73,331.04,668.14,"4,192,900",331.31
223,333.25,333.65,328.97,664.05,"4,240,200",332.78
224,333.73,333.75,331.81,666.14,"1,851,800",330.265
225,331.98,332.25,328.28,659.34,"4,425,700",332.005
226,328.85,336.24,327.77,668.87,"5,036,100",335.945
227,332.76,341.18,330.71,681.8,"6,106,700",342.69
228,342.61,345.65,339.73,690,"5,573,700",344.93
229,344.36,348.3,341.56,696.46,"6,350,800",348.695
230,349.81,351.63,345.76,693.35,"4,401,300",344.015
231,346.2,346.46,341.57,689.14,"3,998,200",342.92
232,344.78,345.95,339.89,685.94,"3,738,700",343.745
233,342.51,346.51,340.98,689.24,"2,935,500",343.54
234,346.2,347.14,339.94,682.34,"3,852,900",342.575
235,341.42,344.53,340.62,683.54,"2,743,600",346.115
236,343.71,349.65,342.58,694.97,"5,395,200",347.945
237,348.31,350.44,345.45,695.65,"4,870,100",352.685
238,356.62,356.9,348.47,700.78,"6,915,500",350.25
239,348.28,352.59,347.91,700.04,"4,276,100",355.155
240,351.43,359.61,350.7,718.81,"6,093,400",359.69
241,356.96,363.19,356.19,719.1,"6,032,300",358.575
242,359.01,360.15,357,718.14,"3,851,500",359.06
243,360.28,360.97,357.15,720.38,"3,326,400",356
244,355.65,358.07,353.93,713.67,"7,078,300",354.33
245,355.92,356.25,352.41,707.56,"1,688,000",352.5
246,352.71,355.11,349.89,706.93,"2,373,500",350.55
247,352.25,353.1,348,704.36,"3,307,000",350.42
248,349.53,352.14,348.7,698.09,"2,814,500",350.33
249,348.69,353.96,346.7,705.44,"4,009,600",359.54
