Open,High,Low,Close,Volume,Stock,,Open,High,Low,Close,Volume
338.73,339.73,335.5,675.9,4820100,337.295,,0.121707706,0.118281961,0.114557534,0.254537436,0.192719263
336.99,340.24,334.35,673.3,3916200,337.735,,0.11815509,0.119312784,0.112297048,0.250954343,0.156519824
338.66,339.23,336.24,678.44,3085400,341.125,,0.121564784,0.117271349,0.116012108,0.258037843,0.123247897
338.48,344.16,338.09,685.71,4115500,344.44,,0.121197272,0.127235978,0.119648543,0.268056723,0.164501402
346.1,346.48,342.4,686.04,4666100,339.335,,0.136755278,0.131925215,0.128120454,0.2685115,0.186551862
340.97,342.15,336.52,681.09,3283900,339.74,,0.126281187,0.12317332,0.116562488,0.261689842,0.131197437
341.46,341.97,337.51,679.85,3177300,334.925,,0.127281637,0.1228095,0.118508472,0.259980982,0.126928314
336.24,337.85,332,665.29,4481200,329.445,,0.11662379,0.114482062,0.107677792,0.239915659,0.179146976
333.85,334.49,324.4,650.5,5213300,328.43,,0.111744048,0.107690753,0.092738924,0.219533371,0.208466159
326.1,332.92,323.94,661.21,6251500,331.425,,0.095920617,0.104517433,0.091834729,0.234292959,0.250044053
330.64,333.65,329.2,664.08,2822300,330.22,,0.105190085,0.105992926,0.102173999,0.238248143,0.112711254
330.26,332.55,327.89,657.25,3200200,326.945,,0.104414227,0.103769581,0.099599009,0.228835632,0.127845414
329.1,329.85,324.04,650.76,3349200,324.76,,0.102045816,0.098312279,0.092031293,0.21989168,0.133812575
323.79,328.77,320.75,645.49,3711500,321.05,,0.091204214,0.096129358,0.085564335,0.212629026,0.148321986
321.79,325.29,316.81,645.41,6902000,329.875,,0.087120748,0.089095503,0.077819711,0.212518777,0.276095314
326.63,333.21,326.54,666.38,4754100,334.385,,0.097002736,0.105103588,0.096945395,0.241417802,0.190076091
333.5,337.73,331.04,668.14,4192900,331.31,,0.111029442,0.114239515,0.105790777,0.243843281,0.167601121
333.25,333.65,328.97,664.05,4240200,332.78,,0.110519009,0.105992926,0.101721901,0.2382068,0.169495394
333.73,333.75,331.81,666.14,1851800,330.265,,0.11149904,0.106195048,0.10730432,0.241087055,0.073844614
331.98,332.25,328.28,659.34,4425700,332.005,,0.107926008,0.103163214,0.100365609,0.231715888,0.176924309
328.85,336.24,327.77,668.87,5036100,335.945,,0.101535383,0.111227893,0.099363132,0.244849303,0.201369644
332.76,341.18,330.71,681.8,6106700,342.69,,0.109518559,0.121212734,0.105142116,0.262668302,0.244245094
342.61,345.65,339.73,690,5573700,344.93,,0.12962963,0.1302476,0.122872194,0.273968827,0.222899479
344.36,348.3,341.56,696.46,6350800,348.695,,0.133202662,0.13560384,0.126469316,0.282871436,0.254020825
349.81,351.63,345.76,693.35,4401300,344.015,,0.144330107,0.142334512,0.134725007,0.278585505,0.175947137
346.2,346.46,341.57,689.14,3998200,342.92,,0.136959451,0.13188479,0.126488973,0.27278365,0.159803765
344.78,345.95,339.89,685.94,3738700,343.745,,0.13406019,0.130853967,0.123186697,0.268373689,0.149411294
342.51,346.51,340.98,689.24,2935500,343.54,,0.129425456,0.131985851,0.125329245,0.272921461,0.117244694
346.2,347.14,339.94,682.34,3852900,342.575,,0.136959451,0.133259222,0.123284979,0.263412483,0.153984782
341.42,344.53,340.62,683.54,2743600,346.115,,0.127199967,0.12798383,0.124621614,0.265066218,0.109559471
343.71,349.65,342.58,694.97,5395200,347.945,,0.131875536,0.138332491,0.12847427,0.280818048,0.215750901
348.31,350.44,345.45,695.65,4870100,352.685,,0.141267508,0.139929257,0.134115658,0.281755164,0.194721666
356.62,356.9,348.47,700.78,6915500,350.25,,0.158234309,0.152986357,0.140051893,0.288824883,0.276635963
348.28,352.59,347.91,700.04,4276100,355.155,,0.141206256,0.144274886,0.138951134,0.28780508,0.17093312
351.43,359.61,350.7,718.81,6093400,359.69,,0.147637715,0.158463871,0.144435271,0.313672257,0.243712455
356.96,363.19,356.19,719.1,6032300,358.575,,0.158928499,0.165699848,0.155226638,0.31407191,0.241265519
359.01,360.15,357,718.14,3851500,359.06,,0.163114051,0.159555331,0.156818807,0.312748922,0.153928714
360.28,360.97,357.15,720.38,3326400,356,,0.165707052,0.161212734,0.157113653,0.315835894,0.132899479
355.65,358.07,353.93,713.67,7078300,354.33,,0.156253828,0.155351187,0.150784291,0.306588757,0.283155787
355.92,356.25,352.41,707.56,1688000,352.5,,0.156805096,0.151672562,0.147796517,0.298168488,0.067284742
352.71,355.11,349.89,706.93,2373500,350.55,,0.150251133,0.149368368,0.142843103,0.297300277,0.094737685
352.25,353.1,348,704.36,3307000,350.42,,0.149311936,0.14530571,0.139128042,0.293758527,0.132122547
349.53,352.14,348.7,698.09,2814500,350.33,,0.143758422,0.143365336,0.14050399,0.28511776,0.112398879
348.69,353.96,346.7,705.44,4009600,359.54,,0.142043366,0.147043962,0.136572709,0.295246889,0.160260312
358.37,362.14,356.94,721.27,5101500,361.805,,0.161807342,0.163577564,0.156700869,0.317062415,0.203988787
361.11,364.6,359.01,721.69,4653700,365.915,,0.167401691,0.168549773,0.160769745,0.317641222,0.186055266
363.31,369.35,362.48,735.95,5547600,366.12,,0.171893503,0.178150581,0.167590518,0.337293111,0.221854225
